"organization","key","name","qualifier","visibility","lastAnalysisDate","revision"
"gboticario","c3ed6055-904a-4aee-9222-224d4805ad51","bff-api","TRK","private","2024-06-18T20:35:47+0200","534b23ca0df43e2859636f26e70943c1f06dcefd"
"gboticario","franq-fortaleza-bib-tag-fy","bib-tag-fy","TRK","private","2023-08-10T20:57:54+0200","2b490aa8a9e4ab6a981aab59e3e8eec52ec771b0"
"gboticario","payment-authorization-boilerplate","boilerplate","TRK","private","2022-05-20T20:40:58+0200","64cbeb04a8bc6e23c3b536f3491b4af43354393a"
"gboticario","bonds-process-raw-service","bonds-process-raw-service","TRK","private","2023-03-02T20:18:30+0100","33f96d497b9f77ce25bd7accc9954b7456832901"
"gboticario","acesso-ferramentas","bot-acesso-ferramentas","TRK","private","2022-09-13T20:50:59+0200","b2e399ec82c495103e8f7d0ac43f4fca3eb540a5"
"gboticario","arq-flora-bot-flora","bot-flora","TRK","private","2023-06-13T12:21:53+0200","2f068484c2323c67dc956de4ae8abbe0d541efa9"
"gboticario","botty-si","botty-si","TRK","private",,
"gboticario","cnp-b2b-integra-capture-data","capture-data","TRK","private","2024-01-11T14:44:42+0100","4f9ab638360a8a49210756d17d11dca50a8042e3"
"gboticario","br.gb.tech:CardPaymentAuthorizer","CardPaymentAuthorizer","TRK","private","2023-06-26T22:42:35+0200","39108c6cc3251843e3ac19580712b5004140fa60"
"gboticario","vd-loyalty-catalog","catalog","TRK","private","2024-06-24T17:42:02+0200","f09e28472df6e65c79c8deca7e4052299207fbff"
"gboticario","colab-gb-slack-ccmcl-jira-bot","ccmcl-jira-bot","TRK","private","2024-02-11T03:38:46+0100","0298f6e96b7825423e0f4c17995d715c5ba7c265"
"gboticario","colab-gb-slack-ccmcl-slksn-suport-api","ccmcl-slksn-suport-api","TRK","private","2024-05-08T15:51:18+0200","172201b02e85d58171332deb9055e7bbcaba74a9"
"gboticario","checkout-message","checkout-message","TRK","private","2023-10-30T15:10:30+0100","adc357a91d18f7b28fba39950111707877378cfe"
"gboticario","checkout-report","checkout-report","TRK","private","2023-11-01T19:33:27+0100","67a1a417b524d23932b6c59ee6d58c3a391c3bb8"
"gboticario","clickgb-gateway","clickgb-gateway","TRK","private",,
"gboticario","demaba-oms-lifecycle-client-data-collector-service","client-data-collector-service","TRK","private","2024-06-11T14:39:15+0200","3dbe542df99e8dc2cd64f3c4f309aec5c4f7a845"
"gboticario","cm-newton-admin-webapp","cm-newton-admin-webapp","TRK","private","2024-04-03T13:08:53+0200","fc0d73d687667716ba386945e4d8377bb0f1e8d9"
"gboticario","cm-newton-newton-infrastructure","cm-newton-newton-infrastructure","TRK","private",,
"gboticario","cm-newton-serverless-api","cm-newton-serverless-api","TRK","private","2024-03-11T19:24:43+0100","af68e3c652e6f07bbf150819e4dbafebc1d586d5"
"gboticario","cm-newton-teste-kubernetes-service","cm-newton-teste-kubernetes-service","TRK","private","2024-04-15T14:11:17+0200","1654cfb088c31d4138a7ce6c9af47c9d903a25c3"
"gboticario","cm-pdx-mobile-pdx-app","cm-pdx-mobile-pdx-app","TRK","private",,
"gboticario","cm-sizi-api-core-serverless","cm-sizi-api-core-serverless","TRK","private","2023-12-14T15:29:04+0100","8762ec10a7831c3e54620ac0022eb95c26e45907"
"gboticario","cm-sizi-api-sizi","cm-sizi-api-sizi","TRK","private",,
"gboticario","intern-cms-cms-strapi","cms-strapi","TRK","private","2024-06-24T16:18:30+0200","24c362b38b5d825caf814343eab0d79b42bcb71a"
"gboticario","cnp-b2b-business-partners-backend","cnp-b2b-business-partners-backend","TRK","private","2022-10-20T20:45:35+0200","f330b0d8f3d810a59ccd94e96afd68bf93fac65c"
"gboticario","cnp-b2b-campaigns-backend","cnp-b2b-campaigns-backend","TRK","private","2024-06-18T22:10:18+0200","3342ae241bde7a50253585dae0eab853a1970ede"
"gboticario","cnp-b2b-campaigns-frontend","cnp-b2b-campaigns-frontend","TRK","private","2024-06-24T22:03:35+0200","455e1db3d251ff3f2b0dce28e37f1aedc6427033"
"gboticario","cnp-b2b-facilita-dashboard-looker","cnp-b2b-facilita-dashboard-looker","TRK","private","2024-04-03T01:58:19+0200","833b7e08eba7422f31b057c99812f3e6659f9a52"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-b2b-facilita-demanda-colaborativa-frontend","cnp-b2b-facilita-demanda-colaborativa-b2b-facilita-demanda-colaborativa-frontend","TRK","private","2023-04-03T21:33:34+0200","83af702720017d660a0f81d1d5436733daa53360"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-b2b-meta-comercial","cnp-b2b-facilita-demanda-colaborativa-b2b-meta-comercial","TRK","private","2024-05-07T14:21:42+0200","70e42b8ca1e4ee872ab327637e01fc106744bd7a"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-conectab2b-slack-notification","cnp-b2b-facilita-demanda-colaborativa-conectab2b-slack-notification","TRK","private","2024-05-14T16:48:17+0200","069df597850ad4a9ff75e33cf84d55e472f6fd6d"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-demanda-colaborativa-docs","cnp-b2b-facilita-demanda-colaborativa-demanda-colaborativa-docs","TRK","private",,
"gboticario","cnp-b2b-facilita-demanda-colaborativa-frontend","cnp-b2b-facilita-demanda-colaborativa-frontend","TRK","private","2024-05-06T21:45:53+0200","f3d2e91e18f197e53dbedf0380acc29baa0e6d46"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-front-pagina-descadastramento","cnp-b2b-facilita-demanda-colaborativa-front-pagina-descadastramento","TRK","private","2023-07-18T21:03:05+0200","7bc9741e924601b465c18b60adff86cc4a75914d"
"gboticario","cnp-b2b-facilita-demanda-colaborativa-resources-demanda-colaborativa","cnp-b2b-facilita-demanda-colaborativa-resources-demanda-colaborativa","TRK","private",,
"gboticario","cnp-b2b-facilita-demanda-colaborativa-scripts-glue-etl","cnp-b2b-facilita-demanda-colaborativa-scripts-glue-etl","TRK","private","2024-05-20T20:04:31+0200","c97aed26e17bf8ae4caa63d4c2a45bd38586bf5a"
"gboticario","cnp-b2b-facilita-home-frontend-e2e-home-frontend","cnp-b2b-facilita-home-frontend-e2e-home-frontend","TRK","private","2024-05-20T22:41:42+0200","31529ed034089c368a8d54b35ba158e55509b7df"
"gboticario","cnp-b2b-integra-portal-validador","cnp-b2b-integra-portal-validador","TRK","private","2024-06-24T15:40:39+0200","f28b1445a5d9c4e9745e25cd0b8324e93e6e2cd3"
"gboticario","cnp-b2b-integra-portal-validador-frontend","cnp-b2b-integra-portal-validador-frontend","TRK","private","2024-06-11T16:09:43+0200","c632f210b68e2084467c51e3855a8666565c9fc5"
"gboticario","cnp-b2b-pedidos-portal-vendas-b2b","cnp-b2b-pedidos-portal-vendas-b2b","TRK","private","2024-06-13T21:55:21+0200","71008d1584837609636919805cf2198507e7cd7e"
"gboticario","cnp-b2b-precos-b2b-precos-frontend","cnp-b2b-precos-b2b-precos-frontend","TRK","private","2023-05-11T21:58:13+0200","84c1c0c9ac4617f5cc21417ca9c1077dca8a0c71"
"gboticario","cnp-b2b-precos-backend-precos-backend","cnp-b2b-precos-backend-precos-backend","TRK","private","2023-04-27T16:18:23+0200","a3e8dcc4a8b57d5103b00683ea09a189bb457fd1"
"gboticario","cnp-b2b-precos-backend-scripts-glue-etl","cnp-b2b-precos-backend-scripts-glue-etl","TRK","private",,
"gboticario","cnp-b2b-precos-precos-backend","cnp-b2b-precos-precos-backend","TRK","private",,
"gboticario","cnp-b2b-precos-scripts-glue-etl","cnp-b2b-precos-scripts-glue-etl","TRK","private",,
"gboticario","cnp-cnp-b2b-pedidos-portal-vendas-cnp-b2b-pedidos-portal-vendas-docs","cnp-cnp-b2b-pedidos-portal-vendas-cnp-b2b-pedidos-portal-vendas-docs","TRK","private",,
"gboticario","cnp-cnp-gbweb-site-aumigos","cnp-cnp-gbweb-site-aumigos","TRK","private","2024-06-24T20:23:59+0200","4b5e5dd6e878c47197929e8c7c9c2a4d53ebe839"
"gboticario","cnp-cnp-gbweb-site-aumigos-backend","cnp-cnp-gbweb-site-aumigos-backend","TRK","private","2024-06-24T21:03:28+0200","61b4681565fbc6a9ac555d80f1d9c2c89fbfafe9"
"gboticario","cnp-cnp-rgm-busca-precos-busca-precos","cnp-cnp-rgm-busca-precos-busca-precos","TRK","private","2023-02-08T14:32:25+0100","ffd9c0e67b6dcd6b3eeafaf6251bfa7d23cd46c6"
"gboticario","cnp-devops-cnp-rds-cron","cnp-devops-cnp-rds-cron","TRK","private","2024-06-12T19:01:29+0200","fb811bbc6727f404bb9f006189832085165f17ec"
"gboticario","cnp-edi-gb-data-capture-installer","cnp-edi-gb-data-capture-installer","TRK","private","2023-05-11T21:14:29+0200","21a6f8eea7b50a04fb151ad01fea9719f079cf04"
"gboticario","cnp-edi-gb-integra-b2b-backend","cnp-edi-gb-integra-b2b-backend","TRK","private","2024-06-03T19:20:45+0200","c97ade765dc60d333bc655be8319afa2992b88a9"
"gboticario","cnp-gbweb-conecta-b2b-facilita-produtos-worker","cnp-gbweb-conecta-b2b-facilita-produtos-worker","TRK","private","2024-06-24T21:53:41+0200","bb05b265109b6c79ba6fdfd2ac320b1475665867"
"gboticario","cnp-gbweb-conecta-boilerplate-react","cnp-gbweb-conecta-boilerplate-react","TRK","private","2023-08-08T21:51:04+0200","9abc51880189104138dfa4f1dac5f0d84c2ea7b9"
"gboticario","cnp-gbweb-conecta-campanhas-gbweb-conecta-campanhas-k8s","cnp-gbweb-conecta-campanhas-gbweb-conecta-campanhas-k8s","TRK","private","2024-04-24T21:08:13+0200","8cb65d24f847c95710c5147acb0e9cb8ec5246ac"
"gboticario","cnp-gbweb-conecta-cnp-b2b-sucess-photo","cnp-gbweb-conecta-cnp-b2b-sucess-photo","TRK","private","2024-04-12T21:07:21+0200","b023b58c2b6b4406d6452db3d6457647aa569a70"
"gboticario","cnp-gbweb-conecta-conecta-core-docs","cnp-gbweb-conecta-conecta-core-docs","TRK","private",,
"gboticario","cnp-gbweb-conecta-gbweb-gestao-verbas-docs","cnp-gbweb-conecta-gbweb-gestao-verbas-docs","TRK","private",,
"gboticario","cnp-gbweb-conecta-naoprop-gbweb-produtos-docs","cnp-gbweb-conecta-naoprop-gbweb-produtos-docs","TRK","private",,
"gboticario","cnp-gbweb-conecta-preco-precos-backend-eks-poc","cnp-gbweb-conecta-preco-precos-backend-eks-poc","TRK","private","2023-10-05T20:31:48+0200","a3c6eec05720f1408ead8ea71e5671ff4be85d8f"
"gboticario","cnp-gbweb-conecta-prices-backend","cnp-gbweb-conecta-prices-backend","TRK","private","2024-06-21T22:55:37+0200","c07929e22b23e89a60f76b5259d5fb362bf3d68b"
"gboticario","cnp-gbweb-conecta-prices-reports-worker","cnp-gbweb-conecta-prices-reports-worker","TRK","private","2024-02-08T16:06:39+0100","1267ba75242f53da9a79d975bd6e23ffa90ea25b"
"gboticario","cnp-gbweb-conecta-products-backend","cnp-gbweb-conecta-products-backend","TRK","private","2024-06-20T15:06:45+0200","eb1f05eaf15b406883910c1054c1d5222aaf86a7"
"gboticario","cnp-gbweb-conecta-products-slack-app","cnp-gbweb-conecta-products-slack-app","TRK","private","2024-06-07T22:49:34+0200","0dd17879b7509f6f98c62dd50e082c8a27675d67"
