repoName,collaboratorName
portalrevendedorabot_site_admin,s-azdevops
ansible-openvpn,ricardolavor
ansible-openvpn,renatogp
ansible-openvpn,brunopenso
ansible-openvpn,chicoribas
ansible-openvpn,maiconzotto
ansible-openvpn,manumbs
ansible-openvpn,s-azdevops
terraform-aws-superapp-resources,ricardolavor
terraform-aws-superapp-resources,renatogp
terraform-aws-superapp-resources,brunopenso
terraform-aws-superapp-resources,chicoribas
terraform-aws-superapp-resources,maiconzotto
terraform-aws-superapp-resources,manumbs
terraform-aws-superapp-resources,s-azdevops
supervisorabot_server_api,ricardolavor
supervisorabot_server_api,renatogp
supervisorabot_server_api,brunopenso
supervisorabot_server_api,chicoribas
supervisorabot_server_api,maiconzotto
supervisorabot_server_api,richardborgesb
supervisorabot_server_api,caiogodoi
supervisorabot_server_api,mcostaflor
supervisorabot_server_api,manumbs
supervisorabot_server_api,diegomarcelino92
supervisorabot_server_api,s-azdevops
supervisora_whitelabel_site,ricardolavor
supervisora_whitelabel_site,renatogp
supervisora_whitelabel_site,brunopenso
supervisora_whitelabel_site,chicoribas
supervisora_whitelabel_site,maiconzotto
supervisora_whitelabel_site,caiogodoi
supervisora_whitelabel_site,mcostaflor
supervisora_whitelabel_site,manumbs
supervisora_whitelabel_site,s-azdevops
supervisora_whitelabel_app_hybrid,ricardolavor
supervisora_whitelabel_app_hybrid,renatogp
supervisora_whitelabel_app_hybrid,brunopenso
supervisora_whitelabel_app_hybrid,chicoribas
supervisora_whitelabel_app_hybrid,maiconzotto
supervisora_whitelabel_app_hybrid,richardborgesb
supervisora_whitelabel_app_hybrid,caiogodoi
supervisora_whitelabel_app_hybrid,mcostaflor
supervisora_whitelabel_app_hybrid,manumbs
supervisora_whitelabel_app_hybrid,s-azdevops
supervisorabot_site_admin_docs,ricardolavor
supervisorabot_site_admin_docs,renatogp
supervisorabot_site_admin_docs,brunopenso
supervisorabot_site_admin_docs,chicoribas
supervisorabot_site_admin_docs,maiconzotto
supervisorabot_site_admin_docs,caiogodoi
supervisorabot_site_admin_docs,manumbs
supervisorabot_site_admin_docs,s-azdevops
supervisora_digital_common_lib,ricardolavor
supervisora_digital_common_lib,renatogp
supervisora_digital_common_lib,brunopenso
supervisora_digital_common_lib,chicoribas
supervisora_digital_common_lib,maiconzotto
supervisora_digital_common_lib,richardborgesb
supervisora_digital_common_lib,caiogodoi
supervisora_digital_common_lib,mcostaflor
supervisora_digital_common_lib,manumbs
supervisora_digital_common_lib,s-azdevops
tienda_del_chavo_api,ricardolavor
tienda_del_chavo_api,renatogp
tienda_del_chavo_api,brunopenso
tienda_del_chavo_api,chicoribas
tienda_del_chavo_api,maiconzotto
tienda_del_chavo_api,manumbs
tienda_del_chavo_api,afonso96
tienda_del_chavo_api,s-azdevops
tela_atendimento_fvcbot_server_api,ricardolavor
tela_atendimento_fvcbot_server_api,renatogp
tela_atendimento_fvcbot_server_api,brunopenso
tela_atendimento_fvcbot_server_api,chicoribas
tela_atendimento_fvcbot_server_api,maiconzotto
tela_atendimento_fvcbot_server_api,richardborgesb
tela_atendimento_fvcbot_server_api,caiogodoi
tela_atendimento_fvcbot_server_api,mcostaflor
tela_atendimento_fvcbot_server_api,manumbs
tela_atendimento_fvcbot_server_api,s-azdevops
supervisoraeud_server_api,ricardolavor
supervisoraeud_server_api,renatogp
supervisoraeud_server_api,brunopenso
supervisoraeud_server_api,chicoribas
supervisoraeud_server_api,maiconzotto
supervisoraeud_server_api,manumbs
supervisoraeud_server_api,s-azdevops
terraform-aws-tienda-del-chavo-resources,ricardolavor
terraform-aws-tienda-del-chavo-resources,renatogp
terraform-aws-tienda-del-chavo-resources,brunopenso
terraform-aws-tienda-del-chavo-resources,chicoribas
terraform-aws-tienda-del-chavo-resources,maiconzotto
terraform-aws-tienda-del-chavo-resources,manumbs
terraform-aws-tienda-del-chavo-resources,s-azdevops
terraform-aws-plataformaagendamento-resources,ricardolavor
terraform-aws-plataformaagendamento-resources,renatogp
terraform-aws-plataformaagendamento-resources,brunopenso
terraform-aws-plataformaagendamento-resources,chicoribas
terraform-aws-plataformaagendamento-resources,maiconzotto
terraform-aws-plataformaagendamento-resources,manumbs
terraform-aws-plataformaagendamento-resources,s-azdevops
omnichat_api,ricardolavor
omnichat_api,renatogp
omnichat_api,brunopenso
omnichat_api,chicoribas
omnichat_api,maiconzotto
omnichat_api,manumbs
omnichat_api,s-azdevops
abstracao_carrinho_gera,ricardolavor
abstracao_carrinho_gera,renatogp
abstracao_carrinho_gera,brunopenso
abstracao_carrinho_gera,chicoribas
abstracao_carrinho_gera,maiconzotto
abstracao_carrinho_gera,manumbs
abstracao_carrinho_gera,s-azdevops
supervisora_whitelabel_forest_admin,ricardolavor
supervisora_whitelabel_forest_admin,renatogp
supervisora_whitelabel_forest_admin,brunopenso
supervisora_whitelabel_forest_admin,chicoribas
supervisora_whitelabel_forest_admin,maiconzotto
supervisora_whitelabel_forest_admin,manumbs
supervisora_whitelabel_forest_admin,s-azdevops
tela_atendimento_fvc_whitelabel_site,ricardolavor
tela_atendimento_fvc_whitelabel_site,renatogp
tela_atendimento_fvc_whitelabel_site,brunopenso
tela_atendimento_fvc_whitelabel_site,chicoribas
tela_atendimento_fvc_whitelabel_site,maiconzotto
tela_atendimento_fvc_whitelabel_site,richardborgesb
tela_atendimento_fvc_whitelabel_site,caiogodoi
tela_atendimento_fvc_whitelabel_site,mcostaflor
tela_atendimento_fvc_whitelabel_site,manumbs
tela_atendimento_fvc_whitelabel_site,s-azdevops
plataforma_franqueado_site,ricardolavor
plataforma_franqueado_site,renatogp
plataforma_franqueado_site,brunopenso
plataforma_franqueado_site,chicoribas
plataforma_franqueado_site,maiconzotto
plataforma_franqueado_site,manumbs
plataforma_franqueado_site,s-azdevops
kubernetes-manifests,ricardolavor
kubernetes-manifests,renatogp
kubernetes-manifests,brunopenso
kubernetes-manifests,chicoribas
kubernetes-manifests,maiconzotto
kubernetes-manifests,manumbs
kubernetes-manifests,s-azdevops
ecomm_quem_disse_berenice_io_pt,ricardolavor
ecomm_quem_disse_berenice_io_pt,renatogp
ecomm_quem_disse_berenice_io_pt,brunopenso
ecomm_quem_disse_berenice_io_pt,chicoribas
ecomm_quem_disse_berenice_io_pt,maiconzotto
ecomm_quem_disse_berenice_io_pt,manumbs
ecomm_quem_disse_berenice_io_pt,s-azdevops
ecomm_boticario_io_portugal,ricardolavor
